Height[m]  Pressure[hPa]  Temperature[°C]  Dewpoint[°C]  Wind direction[°]  Wind speed[m/s]
1370       825.97         16.33            -5.28         356.7              3.54
1380       825.01         16.26            -5.51         357.2              3.48
1390       824.04         16.21            -5.70         356.9              3.37
1400       823.07         16.16            -5.87         356.1              3.27
1410       822.11         16.10            -6.02         355.6              3.20
1420       821.14         16.05            -6.15         354.5              3.09
1430       820.18         15.98            -6.27         353.0              2.96
1440       819.22         15.91            -6.37         352.2              2.90
1450       818.25         15.85            -6.38         352.6              2.82
1460       817.29         15.78            -6.32         353.2              2.76
1470       816.33         15.71            -6.20         353.8              2.71
1480       815.37         15.63            -5.97         355.2              2.69
1490       814.42         15.55            -5.69         357.1              2.68
1500       813.46         15.46            -5.44         358.7              2.68
1510       812.50         15.38            -5.28         358.0              2.68
1520       811.55         15.29            -5.24         356.6              2.65
1530       810.59         15.22            -5.31         355.0              2.66
1540       809.64         15.14            -5.42         353.6              2.63
1550       808.69         15.07            -5.54         352.2              2.60
1560       807.73         14.98            -5.61         351.6              2.57
1570       806.78         14.90            -5.63         353.2              2.54
1580       805.83         14.80            -5.58         353.4              2.52
1590       804.88         14.71            -5.47         353.2              2.54
1600       803.93         14.61            -5.30         353.1              2.49
1610       802.99         14.53            -5.13         351.7              2.49
1620       802.04         14.44            -4.94         351.4              2.53
1630       801.09         14.34            -4.76         350.9              2.53
1640       800.15         14.24            -4.63         352.0              2.51
1650       799.20         14.14            -4.57         353.9              2.53
1660       798.26         14.04            -4.57         355.1              2.55
1670       797.32         13.94            -4.59         357.5              2.54
1680       796.37         13.84            -4.60         358.7              2.54
1690       795.43         13.76            -4.57         358.1              2.54
1700       794.49         13.67            -4.50         358.0              2.56
1710       793.55         13.57            -4.37         357.9              2.56
1720       792.61         13.47            -4.24         358.4              2.58
1730       791.68         13.37            -4.13         359.1              2.61
1740       790.74         13.26            -4.07         359.5              2.64
1750       789.80         13.16            -4.04         0.3                2.64
1760       788.87         13.08            -4.04         0.2                2.66
1770       787.93         12.98            -4.06         1.5                2.68
1780       787.00         12.90            -4.07         2.9                2.65
1790       786.06         12.80            -4.08         4.7                2.62
1800       785.13         12.70            -4.09         5.7                2.63
1810       784.20         12.60            -4.11         5.7                2.60
1820       783.27         12.52            -4.13         6.0                2.55
1830       782.34         12.43            -4.15         5.1                2.54
1840       781.41         12.35            -4.17         5.1                2.52
1850       780.48         12.25            -4.19         5.2                2.49
1860       779.55         12.15            -4.23         6.5                2.45
1870       778.63         12.04            -4.30         8.9                2.43
1880       777.70         11.94            -4.38         10.0               2.42
1890       776.77         11.86            -4.46         10.4               2.38
1900       775.85         11.77            -4.52         11.0               2.34
1910       774.93         11.70            -4.55         12.4               2.34
1920       774.00         11.60            -4.54         9.9                2.32
1930       773.08         11.53            -4.50         7.5                2.25
1940       772.16         11.43            -4.41         5.3                2.20
1950       771.24         11.34            -4.33         3.9                2.21
1960       770.32         11.23            -4.24         2.2                2.20
1970       769.40         11.13            -4.19         2.2                2.18
1980       768.48         11.03            -4.16         3.5                2.20
1990       767.57         10.94            -4.15         3.5                2.23
2000       766.65         10.85            -4.13         359.8              2.26
2010       765.73         10.76            -4.10         356.4              2.28
2020       764.82         10.66            -4.05         352.5              2.32
2030       763.91         10.56            -3.98         346.6              2.37
2040       762.99         10.45            -3.91         341.7              2.43
2050       762.08         10.35            -3.86         340.1              2.44
2060       761.17         10.26            -3.85         338.2              2.45
2070       760.26         10.19            -3.87         336.1              2.47
