Height[m]  Pressure[hPa]  Temperature[°C]  Dewpoint[°C]  Wind direction[°]  Wind speed[m/s]
5640       485.73         -14.91           -41.20        266.9              11.11
5650       485.09         -14.97           -41.27        267.0              11.10
5660       484.45         -15.05           -41.33        266.8              11.10
5670       483.82         -15.11           -41.37        265.5              11.12
5680       483.18         -15.17           -41.38        264.0              11.16
5690       482.54         -15.24           -41.39        262.6              11.17
5700       481.91         -15.29           -41.39        261.5              11.22
5710       481.27         -15.35           -41.40        260.6              11.29
5720       480.64         -15.42           -41.43        260.0              11.35
5730       480.00         -15.49           -41.47        260.1              11.41
5740       479.37         -15.55           -41.53        259.5              11.41
5750       478.74         -15.62           -41.58        258.5              11.42
5760       478.11         -15.68           -41.63        258.5              11.45
5770       477.48         -15.74           -41.67        258.1              11.50
5780       476.85         -15.81           -41.72        258.2              11.52
5790       476.22         -15.89           -41.76        258.3              11.55
5800       475.59         -15.96           -41.81        258.6              11.54
5810       474.96         -16.02           -41.86        258.9              11.53
5820       474.33         -16.09           -41.93        258.6              11.55
5830       473.70         -16.15           -41.99        258.3              11.55
5840       473.08         -16.23           -42.08        258.0              11.59
5850       472.45         -16.31           -42.19        257.9              11.64
5860       471.83         -16.41           -42.30        257.3              11.68
5870       471.20         -16.49           -42.39        257.1              11.72
5880       470.58         -16.56           -42.47        256.8              11.77
5890       469.96         -16.63           -42.53        256.3              11.86
5900       469.33         -16.70           -42.59        255.9              11.98
5910       468.71         -16.77           -42.63        255.0              12.03
5920       468.09         -16.84           -42.66        254.5              12.07
5930       467.47         -16.92           -42.69        254.1              12.16
5940       466.85         -17.01           -42.71        254.3              12.18
5950       466.23         -17.10           -42.72        254.0              12.23
5960       465.61         -17.19           -42.72        253.3              12.26
5970       464.99         -17.27           -42.72        252.7              12.19
5980       464.38         -17.34           -42.72        252.0              12.22
5990       463.76         -17.40           -42.73        251.9              12.14
6000       463.14         -17.45           -42.75        251.7              11.96
6010       462.53         -17.47           -42.81        252.8              11.77
6020       461.91         -17.45           -42.92        254.1              11.59
6030       461.30         -17.42           -43.09        254.4              11.38
6040       460.69         -17.36           -43.37        253.4              11.19
6050       460.08         -17.30           -43.64        252.1              10.94
6060       459.47         -17.23           -43.96        250.9              10.77
6070       458.86         -17.16           -44.28        249.6              10.69
6080       458.25         -17.07           -44.73        247.7              10.45
6090       457.64         -16.97           -45.16        246.7              10.24
6100       457.03         -16.87           -45.65        246.1              10.14
6110       456.43         -16.78           -46.11        245.3              9.96
6120       455.82         -16.72           -46.58        244.4              9.75
6130       455.22         -16.66           -47.02        243.4              9.50
6140       454.62         -16.62           -47.45        243.0              9.36
6150       454.01         -16.58           -47.88        242.4              9.28
6160       453.41         -16.54           -48.31        242.1              9.15
6170       452.81         -16.51           -48.72        242.2              9.08
6180       452.21         -16.48           -49.07        242.5              9.13
6190       451.61         -16.48           -49.33        243.3              9.19
6200       451.01         -16.49           -49.45        243.5              9.20
6210       450.41         -16.51           -49.47        243.3              9.30
6220       449.81         -16.54           -49.40        243.1              9.43
6230       449.22         -16.59           -49.25        243.2              9.55
6240       448.62         -16.65           -49.05        243.9              9.60
6250       448.02         -16.71           -48.86        244.6              9.66
6260       447.43         -16.77           -48.67        245.7              9.78
6270       446.84         -16.83           -48.50        247.0              9.90
6280       446.24         -16.89           -48.37        247.7              9.99
6290       445.65         -16.95           -48.22        248.3              10.06
6300       445.06         -17.03           -48.08        248.1              10.10
6310       444.47         -17.09           -47.96        247.9              10.15
6320       443.88         -17.17           -47.85        247.8              10.14
6330       443.29         -17.25           -47.74        248.4              10.18
6340       442.70         -17.32           -47.63        249.3              10.18
6350       442.11         -17.39           -47.54        251.0              10.13
6360       441.52         -17.46           -47.45        252.4              10.14
6370       440.94         -17.51           -47.38        253.7              10.09
6380       440.35         -17.59           -47.30        254.6              10.08
6390       439.76         -17.66           -47.24        254.6              10.03
6400       439.18         -17.75           -47.19        254.5              9.97
6410       438.59         -17.84           -47.16        254.0              10.00
6420       438.01         -17.93           -47.16        254.4              10.02
6430       437.43         -18.02           -47.14        254.6              9.99
6440       436.85         -18.10           -47.14        255.4              9.93
6450       436.26         -18.18           -47.14        256.4              10.04
6460       435.68         -18.27           -47.14        258.2              10.14
6470       435.10         -18.36           -47.15        259.8              10.24
6480       434.52         -18.45           -47.15        260.9              10.30
6490       433.94         -18.54           -47.17        262.2              10.46
6500       433.36         -18.63           -47.18        262.5              10.61
6510       432.78         -18.70           -47.20        262.8              10.65
6520       432.21         -18.78           -47.21        262.9              10.70
6530       431.63         -18.85           -47.23        263.2              10.78
6540       431.05         -18.93           -47.26        263.3              10.85
6550       430.48         -19.02           -47.28        263.5              10.81
6560       429.90         -19.11           -47.33        264.2              10.80
6570       429.33         -19.19           -47.37        265.2              10.84
6580       428.75         -19.28           -47.41        265.8              10.88
6590       428.18         -19.35           -47.44        266.7              10.94
6600       427.60         -19.44           -47.48        267.6              11.06
6610       427.03         -19.52           -47.52        268.3              11.17
6620       426.46         -19.62           -47.56        269.3              11.24
6630       425.89         -19.71           -47.59        270.2              11.32
6640       425.32         -19.80           -47.63        271.0              11.37
6650       424.75         -19.89           -47.68        270.5              11.42
6660       424.18         -19.98           -47.71        269.9              11.49
6670       423.61         -20.07           -47.76        269.1              11.52
6680       423.04         -20.17           -47.79        269.0              11.60
6690       422.47         -20.25           -47.82        268.9              11.66
6700       421.90         -20.34           -47.83        268.9              11.78
6710       421.34         -20.42           -47.85        269.3              11.94
6720       420.77         -20.53           -47.87        270.2              12.13
6730       420.20         -20.63           -47.89        270.0              12.37
6740       419.64         -20.72           -47.90        269.9              12.61
6750       419.07         -20.81           -47.91        270.5              12.75
6760       418.51         -20.90           -47.93        271.3              12.85
6770       417.95         -20.97           -47.93        271.5              12.95
6780       417.38         -21.06           -47.94        271.4              13.03
6790       416.82         -21.14           -47.95        271.8              13.04
6800       416.26         -21.23           -47.95        271.7              13.06
6810       415.70         -21.33           -47.94        271.0              13.11
6820       415.14         -21.40           -47.94        270.7              13.20
6830       414.58         -21.50           -47.92        270.2              13.17
6840       414.02         -21.60           -47.90        269.8              13.19
6850       413.46         -21.67           -47.89        269.4              13.25
6860       412.90         -21.75           -47.87        269.1              13.31
6870       412.34         -21.86           -47.86        268.8              13.32
6880       411.78         -21.94           -47.85        268.6              13.38
6890       411.23         -22.01           -47.84        268.6              13.39
6900       410.67         -22.08           -47.84        268.6              13.40
6910       410.11         -22.15           -47.85        268.7              13.40
6920       409.56         -22.23           -47.86        268.8              13.41
6930       409.00         -22.32           -47.87        268.8              13.50
6940       408.45         -22.42           -47.87        268.9              13.53
6950       407.90         -22.51           -47.89        268.6              13.52
6960       407.34         -22.60           -47.91        268.3              13.52
6970       406.79         -22.71           -47.94        267.7              13.49
6980       406.24         -22.77           -47.97        267.4              13.49
6990       405.69         -22.85           -48.00        267.0              13.51
7000       405.14         -22.92           -48.02        266.5              13.48
7010       404.59         -23.00           -48.05        265.9              13.48
7020       404.04         -23.09           -48.09        264.9              13.50
7030       403.49         -23.19           -48.13        264.3              13.42
7040       402.94         -23.28           -48.17        263.7              13.44
7050       402.39         -23.37           -48.21        263.6              13.48
7060       401.85         -23.45           -48.24        263.7              13.44
7070       401.30         -23.53           -48.27        263.7              13.43
7080       400.75         -23.62           -48.31        263.5              13.37
7090       400.21         -23.69           -48.35        263.1              13.31
7100       399.66         -23.78           -48.39        262.4              13.32
7110       399.12         -23.88           -48.44        262.1              13.37
7120       398.57         -23.97           -48.48        261.7              13.36
7130       398.03         -24.06           -48.53        261.2              13.36
7140       397.49         -24.15           -48.56        260.9              13.38
7150       396.94         -24.23           -48.60        260.6              13.42
7160       396.40         -24.31           -48.63        260.3              13.44
7170       395.86         -24.39           -48.67        260.0              13.46
7180       395.32         -24.47           -48.71        259.5              13.51
7190       394.78         -24.56           -48.75        258.6              13.56
7200       394.24         -24.65           -48.79        257.7              13.58
7210       393.70         -24.74           -48.83        256.8              13.59
7220       393.16         -24.83           -48.88        256.4              13.67
7230       392.63         -24.90           -48.91        256.2              13.73
7240       392.09         -24.99           -48.95        256.0              13.78
7250       391.55         -25.07           -48.99        256.0              13.81
7260       391.02         -25.17           -49.04        256.0              13.84
7270       390.48         -25.23           -49.07        255.8              13.86
7280       389.94         -25.32           -49.12        255.5              13.89
7290       389.41         -25.39           -49.17        255.5              13.96
7300       388.88         -25.50           -49.25        256.3              14.05
7310       388.34         -25.59           -49.30        256.4              14.04
7320       387.81         -25.70           -49.37        256.9              14.10
7330       387.28         -25.76           -49.41        257.1              14.26
7340       386.74         -25.84           -49.45        257.7              14.30
7350       386.21         -25.93           -49.51        258.3              14.30
7360       385.68         -26.02           -49.57        258.6              14.38
7370       385.15         -26.12           -49.63        258.9              14.44
7380       384.62         -26.22           -49.70        258.8              14.40
7390       384.09         -26.29           -49.75        258.8              14.39
7400       383.57         -26.37           -49.80        258.5              14.38
7410       383.04         -26.46           -49.86        258.3              14.37
7420       382.51         -26.54           -49.92        258.4              14.32
7430       381.98         -26.63           -49.98        258.2              14.26
7440       381.46         -26.72           -50.04        258.0              14.27
7450       380.93         -26.81           -50.10        257.9              14.32
7460       380.41         -26.91           -50.16        257.9              14.32
7470       379.88         -26.99           -50.21        258.0              14.35
7480       379.36         -27.08           -50.26        258.0              14.38
7490       378.83         -27.16           -50.31        258.3              14.40
7500       378.31         -27.26           -50.37        258.6              14.42
7510       377.79         -27.35           -50.43        258.6              14.45
7520       377.26         -27.44           -50.48        258.6              14.47
7530       376.74         -27.53           -50.55        258.4              14.48
7540       376.22         -27.64           -50.62        257.8              14.50
7550       375.70         -27.72           -50.67        257.2              14.51
7560       375.18         -27.81           -50.73        256.9              14.53
7570       374.66         -27.88           -50.78        256.7              14.58
7580       374.14         -27.98           -50.85        257.0              14.67
7590       373.62         -28.08           -50.92        257.0              14.76
7600       373.11         -28.18           -51.00        256.9              14.82
7610       372.59         -28.26           -51.06        257.0              14.89
7620       372.07         -28.36           -51.13        256.5              15.03
7630       371.56         -28.44           -51.18        256.1              15.10
7640       371.04         -28.53           -51.25        255.5              15.15
7650       370.52         -28.60           -51.30        255.0              15.18
7660       370.01         -28.69           -51.36        255.1              15.22
7670       369.50         -28.78           -51.42        254.8              15.28
7680       368.98         -28.87           -51.48        254.6              15.33
7690       368.47         -28.96           -51.54        255.2              15.34
7700       367.96         -29.05           -51.60        255.7              15.36
7710       367.44         -29.13           -51.65        255.8              15.42
7720       366.93         -29.22           -51.70        256.1              15.38
7730       366.42         -29.29           -51.75        256.5              15.35
7740       365.91         -29.36           -51.80        256.7              15.36
7750       365.40         -29.43           -51.86        256.7              15.38
7760       364.89         -29.51           -51.91        256.6              15.34
7770       364.38         -29.57           -51.96        256.3              15.31
7780       363.87         -29.64           -52.00        255.8              15.32
7790       363.37         -29.70           -52.03        255.2              15.35
7800       362.86         -29.77           -52.08        254.8              15.39
7810       362.35         -29.85           -52.14        254.6              15.42
7820       361.85         -29.94           -52.19        254.4              15.48
7830       361.34         -30.02           -52.25        254.1              15.53
7840       360.84         -30.09           -52.30        253.9              15.59
7850       360.33         -30.16           -52.35        254.2              15.67
7860       359.83         -30.22           -52.39        254.5              15.67
7870       359.33         -30.29           -52.45        254.5              15.69
7880       358.82         -30.38           -52.51        254.3              15.77
7890       358.32         -30.45           -52.57        254.1              15.87
7900       357.82         -30.53           -52.63        253.6              16.00
7910       357.32         -30.61           -52.69        253.0              16.17
7920       356.82         -30.71           -52.77        252.4              16.38
7930       356.32         -30.80           -52.83        252.2              16.58
7940       355.82         -30.89           -52.89        251.9              16.72
7950       355.32         -30.95           -52.94        251.6              16.93
7960       354.82         -31.03           -52.99        251.4              17.16
7970       354.32         -31.09           -53.02        251.3              17.30
7980       353.83         -31.15           -53.07        251.4              17.43
7990       353.33         -31.23           -53.12        251.4              17.59
8000       352.83         -31.30           -53.17        251.3              17.73
8010       352.34         -31.37           -53.22        251.4              17.86
8020       351.84         -31.43           -53.27        251.1              17.96
8030       351.35         -31.51           -53.33        250.7              18.06
8040       350.85         -31.57           -53.39        250.6              18.22
8050       350.36         -31.64           -53.44        250.5              18.29
8060       349.87         -31.71           -53.51        250.6              18.40
8070       349.38         -31.79           -53.57        250.7              18.51
8080       348.88         -31.87           -53.64        250.8              18.59
8090       348.39         -31.95           -53.70        250.8              18.69
8100       347.90         -32.03           -53.77        250.3              18.82
8110       347.41         -32.11           -53.83        250.0              18.94
8120       346.92         -32.20           -53.90        250.0              19.03
8130       346.43         -32.27           -53.96        250.0              19.14
8140       345.95         -32.35           -54.02        249.9              19.24
8150       345.46         -32.43           -54.09        249.9              19.31
8160       344.97         -32.53           -54.16        249.7              19.39
8170       344.48         -32.62           -54.22        249.6              19.51
8180       344.00         -32.70           -54.28        249.4              19.58
8190       343.51         -32.78           -54.34        249.1              19.64
8200       343.03         -32.87           -54.39        248.9              19.71
8210       342.54         -32.95           -54.45        248.9              19.77
8220       342.06         -33.04           -54.51        249.2              19.82
8230       341.57         -33.12           -54.56        249.3              19.85
8240       341.09         -33.22           -54.62        249.5              19.96
8250       340.61         -33.31           -54.68        249.6              20.03
8260       340.12         -33.42           -54.75        249.9              20.08
8270       339.64         -33.48           -54.78        249.9              20.11
8280       339.16         -33.56           -54.83        249.8              20.19
8290       338.68         -33.65           -54.88        250.0              20.23
8300       338.20         -33.74           -54.93        250.0              20.30
8310       337.72         -33.82           -54.98        249.9              20.43
8320       337.24         -33.91           -55.02        249.7              20.51
8330       336.76         -34.00           -55.07        249.5              20.56
8340       336.28         -34.10           -55.12        249.2              20.56
8350       335.80         -34.17           -55.15        249.2              20.54
8360       335.33         -34.24           -55.19        249.3              20.60
8370       334.85         -34.29           -55.21        249.7              20.71
8380       334.37         -34.36           -55.25        249.9              20.75
8390       333.90         -34.41           -55.28        249.9              20.75
8400       333.42         -34.49           -55.32        250.2              20.77
8410       332.95         -34.55           -55.36        250.3              20.82
8420       332.48         -34.62           -55.40        250.4              20.88
8430       332.00         -34.67           -55.43        250.5              20.87
8440       331.53         -34.73           -55.47        250.6              20.88
8450       331.06         -34.78           -55.51        250.8              20.91
8460       330.58         -34.85           -55.57        250.7              20.89
8470       330.11         -34.91           -55.62        250.7              20.80
8480       329.64         -34.99           -55.69        250.7              20.75
8490       329.17         -35.06           -55.75        250.8              20.75
8500       328.70         -35.15           -55.84        250.9              20.76
8510       328.23         -35.23           -55.92        251.0              20.62
8520       327.77         -35.31           -56.00        251.1              20.49
8530       327.30         -35.40           -56.09        251.4              20.43
8540       326.83         -35.47           -56.16        251.6              20.44
8550       326.36         -35.55           -56.24        251.6              20.41
8560       325.90         -35.65           -56.33        251.7              20.37
8570       325.43         -35.75           -56.43        251.9              20.37
8580       324.96         -35.84           -56.52        251.9              20.42
8590       324.50         -35.93           -56.60        251.8              20.44
8600       324.03         -36.00           -56.68        251.9              20.41
8610       323.57         -36.09           -56.75        252.1              20.39
8620       323.11         -36.17           -56.82        252.1              20.42
8630       322.64         -36.26           -56.91        252.2              20.42
8640       322.18         -36.36           -57.00        252.5              20.27
8650       321.72         -36.47           -57.10        253.3              20.11
8660       321.26         -36.57           -57.18        253.7              20.00
8670       320.80         -36.64           -57.25        254.3              19.90
8680       320.34         -36.72           -57.32        254.8              19.76
8690       319.88         -36.81           -57.40        255.1              19.67
8700       319.42         -36.90           -57.47        255.3              19.64
8710       318.96         -36.98           -57.54        255.6              19.63
8720       318.50         -37.06           -57.61        255.4              19.61
8730       318.04         -37.14           -57.67        255.3              19.65
8740       317.58         -37.23           -57.74        255.8              19.74
8750       317.12         -37.30           -57.80        256.2              19.84
8760       316.67         -37.37           -57.86        256.5              19.89
8770       316.21         -37.42           -57.90        256.9              19.98
8780       315.76         -37.48           -57.94        257.6              20.09
8790       315.30         -37.53           -57.98        257.8              20.23
8800       314.85         -37.57           -58.01        257.6              20.42
8810       314.39         -37.59           -58.03        257.6              20.69
8820       313.94         -37.61           -58.04        257.7              20.98
8830       313.49         -37.61           -58.05        257.4              21.26
8840       313.03         -37.61           -58.05        257.4              21.57
8850       312.58         -37.59           -58.04        257.7              21.84
8860       312.13         -37.58           -58.04        258.0              22.05
8870       311.68         -37.57           -58.04        258.3              22.23
8880       311.23         -37.55           -58.03        259.0              22.29
8890       310.78         -37.54           -58.02        259.5              22.30
8900       310.34         -37.53           -58.02        260.0              22.27
8910       309.89         -37.53           -58.01        260.5              22.27
8920       309.44         -37.53           -58.01        260.9              22.21
8930       309.00         -37.53           -58.02        261.4              22.16
8940       308.55         -37.55           -58.04        261.7              22.09
8950       308.11         -37.57           -58.07        261.9              22.08
8960       307.66         -37.59           -58.11        262.0              22.11
8970       307.22         -37.62           -58.15        262.4              22.09
8980       306.77         -37.66           -58.20        262.8              22.13
8990       306.33         -37.69           -58.24        262.9              22.20
9000       305.89         -37.72           -58.29        263.1              22.23
9010       305.45         -37.74           -58.34        263.3              22.25
9020       305.01         -37.77           -58.38        263.4              22.29
9030       304.57         -37.79           -58.41        263.3              22.33
9040       304.13         -37.80           -58.45        263.3              22.47
9050       303.69         -37.81           -58.47        263.3              22.63
9060       303.25         -37.82           -58.50        263.2              22.86
9070       302.82         -37.83           -58.53        263.2              23.16
9080       302.38         -37.83           -58.56        263.3              23.52
9090       301.94         -37.84           -58.59        263.4              23.84
9100       301.51         -37.83           -58.61        263.8              24.31
9110       301.07         -37.82           -58.63        264.3              24.68
9120       300.64         -37.81           -58.64        264.6              25.00
9130       300.20         -37.79           -58.65        264.8              25.27
9140       299.77         -37.78           -58.66        264.9              25.44
9150       299.34         -37.77           -58.67        265.2              25.57
9160       298.91         -37.77           -58.69        265.6              25.64
9170       298.47         -37.78           -58.71        266.0              25.69
9180       298.04         -37.78           -58.73        266.5              25.73
9190       297.61         -37.80           -58.75        267.2              25.86
9200       297.18         -37.81           -58.77        268.0              26.03
9210       296.76         -37.82           -58.80        268.9              26.27
9220       296.33         -37.83           -58.82        269.9              26.62
9230       295.90         -37.84           -58.85        271.0              26.92
9240       295.47         -37.84           -58.88        271.5              27.24
9250       295.05         -37.84           -58.90        272.1              27.59
9260       294.62         -37.84           -58.91        272.8              27.78
9270       294.20         -37.84           -58.93        273.4              27.99
9280       293.77         -37.83           -58.94        274.2              28.04
9290       293.35         -37.82           -58.95        274.6              28.05
9300       292.92         -37.81           -58.95        274.7              28.11
9310       292.50         -37.80           -58.95        274.6              28.09
9320       292.08         -37.79           -58.96        274.2              28.08
9330       291.66         -37.77           -58.96        274.3              28.18
9340       291.24         -37.74           -58.96        274.1              28.26
9350       290.82         -37.69           -58.94        273.8              28.29
9360       290.40         -37.64           -58.92        273.5              28.34
9370       289.98         -37.59           -58.88        273.0              28.42
9380       289.56         -37.53           -58.85        272.5              28.53
9390       289.14         -37.47           -58.82        272.0              28.59
9400       288.72         -37.41           -58.79        271.5              28.58
9410       288.31         -37.36           -58.78        271.3              28.51
9420       287.89         -37.33           -58.77        271.2              28.40
9430       287.47         -37.30           -58.78        270.9              28.20
9440       287.06         -37.29           -58.80        270.8              28.06
9450       286.65         -37.28           -58.82        270.8              27.94
9460       286.23         -37.27           -58.85        270.9              27.79
9470       285.82         -37.28           -58.89        270.7              27.62
9480       285.41         -37.29           -58.93        270.4              27.42
9490       284.99         -37.31           -58.99        270.3              27.26
9500       284.58         -37.34           -59.04        270.3              27.08
9510       284.17         -37.38           -59.11        270.2              26.90
9520       283.76         -37.41           -59.18        270.0              26.77
9530       283.35         -37.45           -59.26        270.1              26.63
9540       282.94         -37.50           -59.34        270.0              26.53
9550       282.53         -37.54           -59.43        269.6              26.41
9560       282.12         -37.59           -59.52        269.1              26.36
9570       281.72         -37.64           -59.60        268.8              26.35
9580       281.31         -37.68           -59.69        268.7              26.38
9590       280.90         -37.73           -59.78        268.6              26.36
9600       280.50         -37.77           -59.86        268.7              26.35
9610       280.09         -37.81           -59.93        268.9              26.42
9620       279.69         -37.86           -60.01        268.8              26.51
9630       279.28         -37.90           -60.10        269.0              26.64
9640       278.88         -37.95           -60.19        269.0              26.77
9650       278.48         -37.99           -60.27        269.0              27.01
9660       278.08         -38.03           -60.36        269.3              27.26
9670       277.67         -38.08           -60.45        269.7              27.46
9680       277.27         -38.12           -60.54        269.8              27.65
9690       276.87         -38.16           -60.61        269.8              27.91
9700       276.47         -38.21           -60.70        270.0              28.07
9710       276.07         -38.23           -60.76        270.3              28.22
9720       275.67         -38.26           -60.84        270.3              28.30
9730       275.28         -38.28           -60.89        270.4              28.36
9740       274.88         -38.31           -60.96        270.6              28.46
9750       274.48         -38.33           -61.02        270.7              28.48
9760       274.08         -38.36           -61.08        270.8              28.51
9770       273.69         -38.40           -61.17        270.9              28.64
9780       273.29         -38.46           -61.26        271.1              28.69
9790       272.89         -38.52           -61.37        271.3              28.75
9800       272.50         -38.58           -61.46        271.2              28.86
9810       272.11         -38.62           -61.53        271.3              28.90
9820       271.71         -38.66           -61.61        271.3              28.84
9830       271.32         -38.71           -61.69        271.5              28.89
9840       270.92         -38.75           -61.78        271.6              28.89
9850       270.53         -38.81           -61.87        271.7              28.85
9860       270.14         -38.86           -61.95        271.9              28.81
9870       269.75         -38.92           -62.04        271.9              28.82
9880       269.36         -38.98           -62.14        272.0              28.95
9890       268.97         -39.04           -62.23        272.3              28.99
9900       268.58         -39.10           -62.32        272.7              29.02
9910       268.19         -39.15           -62.39        273.1              29.17
9920       267.80         -39.21           -62.48        273.6              29.31
9930       267.41         -39.26           -62.56        274.1              29.31
9940       267.02         -39.31           -62.64        274.5              29.43
9950       266.63         -39.36           -62.74        274.7              29.61
9960       266.24         -39.41           -62.83        274.9              29.69
9970       265.86         -39.46           -62.92        275.3              29.78
9980       265.47         -39.50           -63.00        275.4              29.98
9990       265.09         -39.55           -63.08        275.3              30.21
10000      264.70         -39.59           -63.14        275.3              30.38
10010      264.32         -39.64           -63.22        275.2              30.57
10020      263.93         -39.68           -63.29        275.0              30.77
10030      263.55         -39.74           -63.37        274.7              30.98
10040      263.16         -39.79           -63.45        274.5              31.13
10050      262.78         -39.84           -63.53        274.2              31.34
10060      262.40         -39.89           -63.60        274.4              31.49
10070      262.02         -39.93           -63.66        274.4              31.61
10080      261.63         -39.98           -63.73        274.5              31.68
10090      261.25         -40.03           -63.80        274.8              31.81
10100      260.87         -40.09           -63.88        274.9              31.92
10110      260.49         -40.14           -63.95        275.1              32.10
10120      260.11         -40.21           -64.04        275.2              32.37
10130      259.73         -40.27           -64.12        275.2              32.62
10140      259.35         -40.34           -64.20        275.1              32.79
10150      258.98         -40.41           -64.28        274.8              32.97
10160      258.60         -40.46           -64.35        274.6              33.26
10170      258.22         -40.50           -64.41        274.4              33.54
10180      257.84         -40.56           -64.49        273.7              33.74
10190      257.47         -40.62           -64.57        273.3              34.12
10200      257.09         -40.69           -64.66        273.2              34.44
10210      256.72         -40.75           -64.73        273.0              34.59
10220      256.34         -40.80           -64.78        272.9              34.77
10230      255.97         -40.83           -64.83        273.2              35.00
10240      255.59         -40.87           -64.88        273.3              35.24
10250      255.22         -40.90           -64.92        273.3              35.39
10260      254.85         -40.93           -64.97        273.2              35.52
10270      254.47         -40.96           -65.03        273.0              35.77
